DATAFLOW,LAST UPDATE,freq,s_adj,indic,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2018-09,4610.598,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2018-10,4209.976,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2018-11,4353.885,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2018-12,5092.133,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2019-01,5455.562,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2019-02,4619.251,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2019-03,4482.228,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2019-04,4180.444,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2019-05,4202.394,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2019-06,4873.119,
ESTAT:EI_ISEN_M(1.0),19/12/24 11:00:00,Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Consumption of electricity - GWh,Greece,2019-07,5507.871,
